portal	module	page	action	crud	source	identifier
平台后台	应用 / 公众号 / 图文管理	图文管理	上传图片	C	菜单权限	uploadImage
平台后台	应用 / 公众号 / 图文管理	图文管理	图片列表	R	菜单权限	systemAttachmentLst
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	同步	U	菜单权限	systemTemplateMessageSync
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	列表	R	菜单权限	systemTemplateMessageLst
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	添加	C	菜单权限	systemTemplateMessageCreate
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	编辑	U	菜单权限	systemTemplateMessageUpdate
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	删除	D	菜单权限	systemTemplateMessageDelete
平台后台	应用 / 公众号 / 微信模板消息	微信模板消息	修改状态	U	菜单权限	systemTemplateMessageSwitchStatus
平台后台	应用 / 公众号 / 微信菜单	微信菜单	微信菜单配置	U	菜单权限	wechatMenu
平台后台	应用 / 公众号 / 微信菜单	微信菜单	保存微信菜单配置	CU	菜单权限	saveWechatMenu
平台后台	应用 / 公众号 / 自动回复	自动回复	详情	R	菜单权限	wechatReplyInfo
平台后台	应用 / 公众号 / 自动回复	自动回复	编辑	CU	菜单权限	saveWechatReply
平台后台	应用 / 公众号 / 自动回复	自动回复	添加	C	菜单权限	createWechatReply
平台后台	应用 / 公众号 / 自动回复	自动回复	修改	U	菜单权限	updateWechatReply
平台后台	应用 / 公众号 / 自动回复	自动回复	列表	R	菜单权限	wechatReplyLst
平台后台	应用 / 公众号 / 自动回复	自动回复	删除	D	菜单权限	wechatReplyDelete
平台后台	应用 / 公众号 / 自动回复	自动回复	修改状态	U	菜单权限	wechatReplyStatus
平台后台	应用 / 公众号 / 自动回复	自动回复	上传图片	C	菜单权限	wechatUploadImage
平台后台	应用 / 公众号 / 自动回复	自动回复	上传语音	C	菜单权限	wechatUploadVoice
平台后台	应用 / 公众号 / 自动回复 / 关键字回复	关键字回复	(页面入口)	R	待补	
平台后台	应用 / 公众号 / 自动回复 / 微信关注回复	微信关注回复	(页面入口)	R	待补	
平台后台	应用 / 公众号 / 自动回复 / 无效关键词回复	无效关键词回复	(页面入口)	R	待补	
平台后台	应用 / 小程序	小程序	小程序配置	R	路由	configRoutineConfig
平台后台	应用 / 小程序	小程序	小程序下载	R	路由	configRoutineDownload
平台后台	应用 / 小程序 / 小程序下载	小程序下载	小程序下载	R	菜单权限	configRoutineDownload
平台后台	应用 / 小程序 / 小程序订阅消息	小程序订阅消息	同步	U	菜单权限	systemTemplateMessageMinSync
